concern,skin_type,ingredients,benefits,directions,brands,notes
razor bumps,combination,"aloe vera, allantoin",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Dermalogica, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,combination,"colloidal oatmeal, cholesterol",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, StriVectin, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
age spots,combination,"peptides, retinol",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Murad, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,oily,"centella asiatica, green tea",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, LANEIGE, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,normal,"kojic acid, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Babor, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,combination,"lanolin, ceramides",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, LANEIGE, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,oily,"kojic acid, arbutin",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Kiehl's, Babor",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,oily,"azelaic acid, tea tree oil",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Murad, Babor",Avoid mixing strong actives; discontinue if irritation occurs
back acne,normal,"salicylic acid, benzoyl peroxide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, La Roche Posay, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"green tea, allantoin",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Peter Thomas Roth, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,oily,"tranexamic acid, azelaic acid",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Paula's Choice, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"coenzyme Q10, retinol",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, The Ordinary, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,dry,"panthenol, hyaluronic acid",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Naturium, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,dry,"tea tree oil, benzoyl peroxide",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, La Mer, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
melasma,combination,"niacinamide, licorice root",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, First Aid Beauty, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"azelaic acid, tea tree oil",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Inkey List, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,dry,"glycerin, hyaluronic acid",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Sulwhasoo, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,sensitive,"kojic acid, azelaic acid",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Paula's Choice, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,normal,"azelaic acid, benzoyl peroxide",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Ren Clean Skincare, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,normal,"AHA, azelaic acid",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Babor, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,normal,"arbutin, AHA",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Neutrogena, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,sensitive,"benzoyl peroxide, salicylic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Peter Thomas Roth, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,dry,"panthenol, glycerin",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Cetaphil, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
large pores,combination,"panthenol, hyaluronic acid",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Dermalogica, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,normal,"azelaic acid, tea tree oil",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, First Aid Beauty, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,sensitive,"kojic acid, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Olay, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,combination,"ceramides, cholesterol",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Inkey List, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
redness,combination,"green tea, allantoin",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, 111Skin, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,normal,"arbutin, kojic acid",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, CeraVe, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,oily,"panthenol, ceramides",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, Olay, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,combination,"ceramides, colloidal oatmeal",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, CeraVe, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,combination,"glycerin, squalane",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, 111Skin, Babor",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,combination,"lanolin, fatty acids",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, Farmacy, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,dry,"azelaic acid, salicylic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, 111Skin, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,normal,"niacinamide, salicylic acid",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Allies of Skin, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,normal,"tea tree oil, salicylic acid",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Babor, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,combination,"azelaic acid, salicylic acid",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Clinique, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,combination,"benzoyl peroxide, niacinamide",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Cosrx, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
large pores,combination,"calendula, green tea",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Aveeno, Simple",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,oily,"green tea, aloe vera",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, StriVectin, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,combination,"niacinamide, vitamin C",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Simple, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,dry,"ceramides, squalane",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Sunday Riley, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,oily,"squalane, panthenol",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, StriVectin, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,dry,"azelaic acid, kojic acid",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Ren Clean Skincare, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,normal,"ceramides, fatty acids",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Versed, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,combination,"azelaic acid, benzoyl peroxide",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Peter Thomas Roth, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,combination,"squalane, ceramides",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Minimalist, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,sensitive,"AHA, azelaic acid",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Peter Thomas Roth, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,combination,"azelaic acid, benzoyl peroxide",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Glow Recipe, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,combination,"arbutin, AHA",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Augustinus Bader, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
melasma,combination,"vitamin C, azelaic acid",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Sunday Riley, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,normal,"calendula, allantoin",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Drunk Elephant, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,sensitive,"allantoin, green tea",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Neutrogena, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,normal,"niacinamide, licorice root",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, La Roche Posay, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,normal,"vitamin C, AHA",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Versed, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
eczema,normal,"lanolin, ceramides",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Glow Recipe, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,combination,"squalane, ceramides",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, SK-II, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,combination,"glycerin, ceramides",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Paula's Choice, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,oily,"fatty acids, cholesterol",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Guerlain, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,sensitive,"green tea, centella asiatica",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Glow Recipe, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,oily,"benzoyl peroxide, niacinamide",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Shiseido, Olay",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,combination,"tea tree oil, azelaic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, SK-II, Olay",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,dry,"glycerin, ceramides",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, La Roche Posay, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,combination,"niacinamide, vitamin C",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Kiehl's, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,oily,"kojic acid, azelaic acid",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Inkey List, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,dry,"tea tree oil, benzoyl peroxide",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Peter Thomas Roth, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,normal,"squalane, glycerin",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Augustinus Bader, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,normal,"azelaic acid, salicylic acid",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Peach & Lily, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,normal,"hyaluronic acid, squalane",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Youth to the People, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,sensitive,"aloe vera, centella asiatica",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Good Molecules, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,dry,"lanolin, colloidal oatmeal",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, Neutrogena, Babor",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,normal,"calendula, centella asiatica",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, 111Skin, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,oily,"vitamin C, kojic acid",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, CeraVe, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,normal,"retinol, bakuchiol",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Sunday Riley, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"retinol, bakuchiol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Clinique, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,sensitive,"panthenol, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Sunday Riley, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,oily,"cholesterol, fatty acids",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Neutrogena, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,oily,"niacinamide, benzoyl peroxide",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Krave Beauty, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,sensitive,"glycerin, ceramides",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, CeraVe, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"azelaic acid, kojic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Clarins, Murad",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,sensitive,"azelaic acid, benzoyl peroxide",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Sunday Riley, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,dry,"glycerin, hyaluronic acid",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, StriVectin, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,oily,"ceramides, fatty acids",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, La Roche Posay, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,normal,"licorice root, azelaic acid",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Cetaphil, Babor",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,dry,"licorice root, niacinamide",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Tatcha, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,normal,"panthenol, hyaluronic acid",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Farmacy, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
eczema,oily,"fatty acids, cholesterol",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Youth to the People, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,oily,"kojic acid, vitamin C",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Sisley Paris, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
large pores,oily,"azelaic acid, niacinamide",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, 111Skin, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,normal,"calendula, aloe vera",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Aveeno, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,dry,"cholesterol, colloidal oatmeal",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Babor, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,oily,"hyaluronic acid, panthenol",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Youth to the People, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,combination,"tea tree oil, salicylic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Avene, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,dry,"retinol, bakuchiol",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Sunday Riley, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,normal,"benzoyl peroxide, salicylic acid",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Inkey List, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,oily,"salicylic acid, azelaic acid",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Biossance, Versed",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,dry,"glycerin, hyaluronic acid",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, 111Skin, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,combination,"vitamin C, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Biossance, Versed",Avoid mixing strong actives; discontinue if irritation occurs
